,Game ID,Date,Team,Score,Possession - Overall,Possession - 1st half,Possession - 2nd half,Tries,Conversions,Penalties,Metres,Defenders Beaten,Clean breaks,Gain line Carries,Passes,Offloads,Turnovers won,Kicks from Hand,Rucks Won,Tackles Made,Tackles Missed,Goal Kicks Successful,Goal Kicks Attempted,Rucks Successful,Total Rucks,Lineouts Successful,Lineouts Thrown,Scrums Successful,Scrums Total,Penalties Conceded Own Half,Penalties Conceded Opp Half,Yellow Cards,Red Cards,% Rucks Successful,% Goal kicks Successful,% Scrums Successful,% Tackle Successful,Outcome
27,87868,7-Oct-2023,Georgia,-24.0,2.0,-2.0,6.0,-3.0,-3.0,-1.0,-27.0,5.0,-2.0,13.0,-18.0,-2.0,-3.0,-12.0,28.0,-49.0,-5.0,-4.0,-5.0,28.0,32.0,0.0,5.0,2.0,4.0,1.0,-2.0,0.0,0.0,-0.025974025974025983,-0.08333333333333337,-0.33333333333333337,-0.008946488294314436,0.0
28,87867,6-Oct-2023,France,53.0,12.0,12.0,14.0,7.0,6.0,2.0,56.0,13.0,7.0,21.0,0.0,6.0,1.0,13.0,2.0,-30.0,-13.0,8.0,10.0,2.0,-2.0,4.0,3.0,4.0,3.0,-7.0,-3.0,0.0,0.0,0.04275362318840603,-0.18181818181818177,0.3571428571428571,0.0557354301572619,1.0
29,87867,6-Oct-2023,Italy,-53.0,-12.0,-12.0,-14.0,-7.0,-6.0,-2.0,-56.0,-13.0,-7.0,-21.0,0.0,-6.0,-1.0,-13.0,-2.0,30.0,13.0,-8.0,-10.0,-2.0,2.0,-4.0,-3.0,-4.0,-3.0,7.0,3.0,0.0,0.0,-0.04275362318840603,0.18181818181818177,-0.3571428571428571,-0.0557354301572619,0.0
30,87866,5-Oct-2023,New Zealand,73.0,26.0,6.0,48.0,11.0,9.0,0.0,574.0,35.0,12.0,70.0,132.0,9.0,3.0,13.0,62.0,-99.0,-35.0,9.0,10.0,62.0,64.0,-1.0,-5.0,3.0,1.0,0.0,-1.0,0.0,0.0,0.00967741935483879,0.8181818181818182,0.3035714285714286,0.08729671049936505,1.0
31,87866,5-Oct-2023,Uruguay,-73.0,-26.0,-6.0,-48.0,-11.0,-9.0,0.0,-574.0,-35.0,-12.0,-70.0,-132.0,-9.0,-3.0,-13.0,-62.0,99.0,35.0,-9.0,-10.0,-62.0,-64.0,1.0,5.0,-3.0,-1.0,0.0,1.0,0.0,0.0,-0.00967741935483879,-0.8181818181818182,-0.3035714285714286,-0.08729671049936505,0.0
32,87865,1-Oct-2023,South Africa,31.0,10.0,0.0,20.0,4.0,7.0,-1.0,139.0,2.0,-1.0,11.0,8.0,0.0,5.0,0.0,13.0,-13.0,-2.0,6.0,3.0,13.0,5.0,3.0,3.0,-4.0,-4.0,0.0,-3.0,0.0,0.0,0.09477124183006524,0.75,-0.19047619047619047,0.003928571428571392,1.0
33,87865,1-Oct-2023,Tonga,-31.0,-10.0,0.0,-20.0,-4.0,-7.0,1.0,-139.0,-2.0,1.0,-11.0,-8.0,0.0,-5.0,0.0,-13.0,13.0,2.0,-6.0,-3.0,-13.0,-5.0,-3.0,-3.0,4.0,4.0,0.0,3.0,0.0,0.0,-0.09477124183006524,-0.75,0.19047619047619047,-0.003928571428571392,0.0
34,87864,1-Oct-2023,Australia,20.0,-12.0,4.0,-26.0,3.0,1.0,1.0,-79.0,-11.0,-4.0,-1.0,-81.0,-1.0,2.0,5.0,-19.0,21.0,11.0,2.0,5.0,-19.0,-19.0,-5.0,-4.0,-1.0,0.0,2.0,2.0,1.0,0.0,-0.0030497592295344322,-0.4285714285714286,-0.1428571428571428,-0.039340659340659334,1.0
35,87864,1-Oct-2023,Portugal,-20.0,12.0,-4.0,26.0,-3.0,-1.0,-1.0,79.0,11.0,4.0,1.0,81.0,1.0,-2.0,-5.0,19.0,-21.0,-11.0,-2.0,-5.0,19.0,19.0,5.0,4.0,1.0,0.0,-2.0,-2.0,-1.0,0.0,0.0030497592295344322,0.4285714285714286,0.1428571428571428,0.039340659340659334,0.0
36,87863,30-Sep-2023,Scotland,84.0,18.0,46.0,-8.0,12.0,12.0,0.0,852.0,60.0,24.0,82.0,192.0,25.0,2.0,-3.0,25.0,-36.0,-60.0,12.0,11.0,25.0,25.0,4.0,3.0,-5.0,-3.0,0.0,1.0,-3.0,0.0,0.006825006825006752,1.0,-0.5,0.2214216346605683,1.0
