,date,Team A,Team B,Score A,Score B,Tourn,Venue,City,Neut.,Country,elo_home,elo_away,proba_home_win,elo_gap,outcome
59,1892-02-06,Wales,Scotland,2,7,Home_Nations_Championship,,Swansea,True,,869.463946655828,1202.7441287789227,0.12802726045659255,-333.28018212309473,0.0
60,1892-02-06,Wales,Scotland,2,7,Home_Nations_Championship,St. Helen's,Swansea,True,,863.2882876244523,1208.9197878102984,0.12029761543029317,-345.6315001858461,0.0
61,1892-02-06,England,Ireland,7,0,Home_Nations_Championship,Whalley Range,Manchester,True,,1115.6742113687842,812.1177131964652,0.8516260402884761,303.55649817231904,1.0
62,1892-02-20,Scotland,Ireland,2,0,Home_Nations_Championship,,Edinburgh,True,,1214.6944364600306,803.712835836458,0.9141819502660709,410.9816006235726,1.0
63,1892-02-20,Scotland,Ireland,2,0,Home_Nations_Championship,Raeburn Place,Edinburgh,True,,1217.1570919245964,801.250180371892,0.9163803246444708,415.9069115527044,1.0
64,1892-03-05,Scotland,England,0,5,Home_Nations_Championship,Raeburn Place,Edinburgh,True,,1219.552144321712,1124.0790887287912,0.6340397866126042,95.47305559292067,0.0
65,1892-03-05,Ireland,Wales,9,0,Home_Nations_Championship,Lansdowne,Dublin,True,,798.8551279747765,857.5136389747202,0.4163766583436687,-58.6585109999437,1.0
66,1892-03-05,Ireland,Wales,9,0,Home_Nations_Championship,,Dublin,True,,839.4323341666737,816.9364327828229,0.5323290388243366,22.495901383850878,1.0
67,1892-03-06,Scotland,England,0,5,Home_Nations_Championship,,Edinburgh,True,,1185.7994540021275,1157.8317790483757,0.5401620093295436,27.96767495375184,0.0
68,1893-01-07,Wales,England,12,11,Home_Nations_Championship,Cardiff Arms Park,Cardiff,True,,783.8919088861587,1187.4582030266645,0.08922664834894599,-403.56629414050576,1.0
69,1893-01-07,Wales,England,12,11,Home_Nations_Championship,,Cardiff,True,,800.428710268645,1170.9214016441783,0.10595635114377806,-370.49269137553335,1.0
70,1893-02-04,Ireland,England,0,4,Home_Nations_Championship,,Dublin,True,,872.4768580633379,1154.4794947463863,0.16474507912424777,-282.0026366830484,0.0
71,1893-02-04,Scotland,Wales,0,9,Home_Nations_Championship,,Edinburgh,True,,1156.1730300238387,816.8706171664369,0.8757931589957596,339.3024128574018,0.0
72,1893-02-04,Ireland,England,0,4,Home_Nations_Championship,Lansdowne Road,Dublin,True,,865.191199494087,1161.7651533156372,0.15352504352837687,-296.5739538215503,0.0
73,1893-02-04,Scotland,Wales,0,9,Home_Nations_Championship,Raeburn Place,Edinburgh,True,,1102.011966148695,871.0316810415807,0.7907793271166232,230.98028510711424,0.0
74,1893-02-18,Ireland,Scotland,0,0,Home_Nations_Championship,,Belfast,True,,858.4413607730753,1050.9292555851453,0.2482347208310184,-192.48789481206995,0.5
75,1893-02-20,Ireland,Scotland,0,0,Home_Nations_Championship,Belfast,George Rowland Hill,True,,858.4413607730753,1050.9292555851453,0.2482347208310184,-192.48789481206995,0.5
76,1893-03-04,England,Scotland,0,8,Home_Nations_Championship,,Leeds,True,,1168.514992036649,1050.9292555851453,0.663041523375778,117.58573645150364,0.0
77,1893-03-04,England,Scotland,0,8,Home_Nations_Championship,Headingley,Rugby Stadium,True,,1125.6439795133724,1093.8002681084217,0.5456988934566116,31.84371140495068,0.0
78,1893-03-11,Wales,Ireland,2,0,Home_Nations_Championship,,Llanelli,True,,922.1143916051303,858.4413607730753,0.5906205842808002,63.67303083205502,1.0
79,1893-03-11,Wales,Ireland,2,0,Home_Nations_Championship,Stradey Park,Llanelli,True,,935.6644489228169,844.8913034553888,0.6277396952456089,90.7731454674281,1.0
80,1894-01-06,England,Wales,24,3,Home_Nations_Championship,,Birkenhead,True,,1089.004599442921,947.8401358477955,0.6926649691058594,141.16446359512554,1.0
81,1894-01-06,England,Wales,24,3,Home_Nations_Championship,Birkenhead Park,Birkenhead,True,,1116.6784433057103,920.1662919850063,0.7560630303852477,196.512151320704,1.0
82,1894-02-03,England,Ireland,5,7,Home_Nations_Championship,Rectory Field,Blackheath,True,,1138.1363490588749,832.7156165304101,0.8529769395766149,305.4207325284648,0.0
83,1894-02-03,Wales,Scotland,7,0,Home_Nations_Championship,Rodney Parade,Newport,True,,898.7083862318417,1130.439648178873,0.20850634781941274,-231.73126194703138,1.0
84,1894-02-03,Wales,Scotland,7,0,Home_Nations_Championship,,Newport,True,,944.8680831417558,1084.279951268959,0.30948689063813617,-139.4118681272031,1.0
85,1894-02-03,England,Ireland,5,7,Home_Nations_Championship,,London,True,,1112.6278179734095,858.2241476158756,0.812214672895609,254.40367035753388,0.0
86,1894-02-24,Ireland,Scotland,5,0,Home_Nations_Championship,Lansdowne Road,Dublin,True,,883.0185512200262,1042.4202302418626,0.285449238532451,-159.40167902183634,1.0
87,1894-02-24,Ireland,Scotland,5,0,Home_Nations_Championship,,Dublin,True,,920.0265230825644,1005.4122583793244,0.3795356062906582,-85.38573529676,1.0
88,1894-03-10,Ireland,Wales,3,0,Home_Nations_Championship,Ulster Cricket Ground,Belfast,True,,953.20232540179,986.7278041688522,0.45190214658081973,-33.52547876706228,1.0
89,1894-03-10,Ireland,Wales,3,0,Home_Nations_Championship,,Belfast,True,,976.4033423616787,963.5267872089635,0.518522372649697,12.876555152715241,1.0
90,1894-03-17,Scotland,England,6,0,Home_Nations_Championship,Raeburn Place,Edinburgh,True,,972.2364560600988,1087.833414369259,0.3395209879154394,-115.59695830916007,1.0
91,1894-03-17,Scotland,England,6,0,Home_Nations_Championship,,Edinburgh,True,,1010.0897092016144,1049.9801612277433,0.44284395275039634,-39.89045202612897,1.0
92,1895-01-05,Wales,England,6,14,Home_Nations_Championship,,Swansea,True,,942.9556284678948,1016.9692716428787,0.3950683284678588,-74.01364317498383,0.0
93,1895-01-05,Wales,England,6,14,Home_Nations_Championship,St. Helen's,Swansea,True,,916.9218040287208,1043.0030960820527,0.32612096318009204,-126.08129205333194,0.0
94,1895-01-26,Scotland,Wales,5,4,Home_Nations_Championship,,Edinburgh,True,,1043.1005987864792,895.9124523525977,0.6999968960276535,147.18814643388146,1.0
95,1895-01-26,Scotland,Wales,5,4,Home_Nations_Championship,Raeburn Place,Edinburgh,True,,1049.1426956114667,889.8703555276101,0.7143988759648131,159.27234008385665,1.0
96,1895-02-02,Ireland,England,3,6,Home_Nations_Championship,Lansdowne Road,Dublin,True,,996.9745011027474,1064.0124477581758,0.40470433332396755,-67.03794665542841,0.0
97,1895-02-02,Ireland,England,3,6,Home_Nations_Championship,,Dublin,True,,980.0965821787958,1080.8903666821273,0.35888297085477533,-100.7937845033315,0.0
98,1895-03-02,Scotland,Ireland,6,0,Home_Nations_Championship,,Edinburgh,True,,1054.8652729663136,965.3491982304585,0.6260471454046465,89.51607473585511,1.0
99,1895-03-02,Scotland,Ireland,6,0,Home_Nations_Championship,Raeburn Place,Edinburgh,True,,1076.5413314226628,943.6731397741091,0.6824059658498516,132.86819164855365,1.0
100,1895-03-09,England,Scotland,3,6,Home_Nations_Championship,Athletic Ground,Richmond,True,,1095.6377506304646,1094.6084665211404,0.5014812545707025,1.0292841093241805,0.0
101,1895-03-09,England,Scotland,3,6,Home_Nations_Championship,,Richmond,True,,1074.0966090937034,1116.1496080579016,0.43977468832286987,-42.052998964198196,0.0
102,1895-03-16,Wales,Ireland,5,3,Home_Nations_Championship,Cardiff Arms Park,Cardiff,True,,884.1477781727632,925.6060046756315,0.44061838947373394,-41.45822650286834,1.0
103,1895-03-16,Wales,Ireland,5,3,Home_Nations_Championship,,Cardiff,True,,902.8462606965471,906.9075221518476,0.4941556411322721,-4.061261455300496,1.0
104,1896-01-04,England,Wales,25,0,Home_Nations_Championship,,London,True,,1055.551722307743,920.0420484849101,0.6856922665548969,135.50967382283284,1.0
105,1896-01-04,England,Wales,25,0,Home_Nations_Championship,Rectory Field,Blackheath,True,,1085.4552014364185,890.1385693562344,0.7547915426565525,195.31663208018415,1.0
106,1896-01-25,Wales,Scotland,6,0,Home_Nations_Championship,Cardiff Arms Park,Cardiff,True,,867.391741650435,1134.694494843862,0.17672166810295498,-267.30275319342695,1.0
107,1896-01-25,Wales,Scotland,6,0,Home_Nations_Championship,,Cardiff,True,,911.6741670541793,1090.4120694401176,0.26329779127668546,-178.73790238593836,1.0
108,1896-02-01,England,Ireland,4,10,Home_Nations_Championship,Leeds,Graham Findlay,True,,1108.202029142218,889.7117343634847,0.7786353060333678,218.4902947787333,0.0
109,1896-02-01,England,Ireland,4,10,Home_Nations_Championship,,Leeds,True,,1065.4755701968406,932.4381933088619,0.6826170016522586,133.03737688797878,0.0
110,1896-02-15,Ireland,Scotland,0,0,Home_Nations_Championship,Lansdowne Road,Dublin,True,,971.267761606888,1049.3110553736449,0.3895383124513291,-78.04329376675685,0.5
111,1896-02-15,Ireland,Scotland,0,0,Home_Nations_Championship,,Dublin,True,,971.267761606888,1049.3110553736449,0.3895383124513291,-78.04329376675685,0.5
